nameWithOwner,url,createdAt,updatedAt,stargazers,pullRequests,acceptedPullRequests,releases,primaryLanguage,totalIssues,closedIssues
bevacqua/dragula,https://github.com/bevacqua/dragula,2015-04-13,2020-09-29,21090,185,57,0,JavaScript,504,406
halo-dev/halo,https://github.com/halo-dev/halo,2018-03-21,2022-02-20,21037,569,417,78,Java,1047,979
ruanyf/weekly,https://github.com/ruanyf/weekly,2018-10-13,2022-02-18,21019,63,46,0,,2124,425
usablica/intro.js,https://github.com/usablica/intro.js,2013-03-10,2022-02-06,21008,848,332,30,JavaScript,710,677
n8n-io/n8n,https://github.com/n8n-io/n8n,2019-06-22,2022-02-20,20984,2299,1375,0,TypeScript,547,495
nsqio/nsq,https://github.com/nsqio/nsq,2012-05-12,2021-10-25,20938,786,648,30,Go,597,546
portainer/portainer,https://github.com/portainer/portainer,2016-05-19,2022-02-21,20927,2622,2134,89,JavaScript,3946,3225
NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,2015-03-01,2022-02-20,20927,3247,2827,109,TypeScript,6389,5499
komeiji-satori/Dress,https://github.com/komeiji-satori/Dress,2018-02-11,2022-02-15,20924,823,499,0,Standard ML,352,251
kilimchoi/engineering-blogs,https://github.com/kilimchoi/engineering-blogs,2015-06-13,2021-07-02,20891,968,679,0,Ruby,78,74
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26,2022-02-13,20880,1493,962,1122,TypeScript,8478,8043
eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,2017-02-05,2019-10-18,20821,32,9,0,Python,64,36
paularmstrong/normalizr,https://github.com/paularmstrong/normalizr,2014-08-20,2021-10-25,20821,190,98,25,JavaScript,301,279
bilibili/flv.js,https://github.com/bilibili/flv.js,2016-05-12,2021-09-13,20812,62,20,15,JavaScript,665,291
googlehosts/hosts,https://github.com/googlehosts/hosts,2017-08-05,2021-06-19,20787,87,50,0,,411,349
prisma/prisma,https://github.com/prisma/prisma,2019-06-20,2022-02-18,20781,3032,2457,124,TypeScript,5653,3844
servo/servo,https://github.com/servo/servo,2012-02-08,2022-02-12,20711,17060,14056,0,,11581,8229
files-community/Files,https://github.com/files-community/Files,2019-01-04,2022-02-20,20705,2823,2507,61,C#,5578,4741
sharkdp/fd,https://github.com/sharkdp/fd,2017-05-09,2022-02-01,20681,381,309,28,Rust,574,527
AllThingsSmitty/css-protips,https://github.com/AllThingsSmitty/css-protips,2015-08-29,2021-02-12,20678,89,45,0,,48,44
conwnet/github1s,https://github.com/conwnet/github1s,2019-06-16,2022-02-14,20663,216,197,21,JavaScript,170,123
HeroTransitions/Hero,https://github.com/HeroTransitions/Hero,2016-11-24,2021-03-24,20655,142,110,37,Swift,584,406
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,2015-11-28,2021-12-31,20649,346,93,30,Java,2420,1627
wsargent/docker-cheat-sheet,https://github.com/wsargent/docker-cheat-sheet,2014-08-05,2021-10-31,20647,164,133,0,,27,22
chenglou/react-motion,https://github.com/chenglou/react-motion,2015-06-11,2019-11-17,20629,222,144,4,JavaScript,394,248
pugjs/pug,https://github.com/pugjs/pug,2010-06-23,2021-12-23,20606,843,501,22,JavaScript,2507,2258
google/gson,https://github.com/google/gson,2015-03-19,2022-02-18,20589,597,298,3,Java,1448,966
zsh-users/zsh-autosuggestions,https://github.com/zsh-users/zsh-autosuggestions,2013-10-26,2021-06-04,20580,178,104,0,Shell,482,400
ibraheemdev/modern-unix,https://github.com/ibraheemdev/modern-unix,2021-01-12,2021-11-06,20577,40,9,0,,49,8
swc-project/swc,https://github.com/swc-project/swc,2017-12-22,2022-02-20,20562,1913,1713,116,Rust,1498,1254
getredash/redash,https://github.com/getredash/redash,2013-10-28,2022-02-09,20537,3516,2642,98,Python,2186,1715
quasarframework/quasar,https://github.com/quasarframework/quasar,2015-10-05,2022-02-19,20524,3692,2858,593,JavaScript,6533,6267
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,2013-12-27,2022-02-19,20467,2999,2438,33,TypeScript,3239,3100
ColorlibHQ/gentelella,https://github.com/ColorlibHQ/gentelella,2015-05-15,2020-08-05,20447,252,161,7,HTML,640,610
jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal,2014-01-16,2021-11-22,20428,52,32,0,JavaScript,470,450
SwiftGGTeam/the-swift-programming-language-in-chinese,https://github.com/SwiftGGTeam/the-swift-programming-language-in-chinese,2014-06-03,2021-12-13,20412,776,682,1,CSS,397,394
wangzheng0822/algo,https://github.com/wangzheng0822/algo,2018-09-24,2020-11-17,20404,402,321,0,Python,118,21
keon/algorithms,https://github.com/keon/algorithms,2016-11-17,2022-02-16,20397,684,408,1,Python,146,93
tornadoweb/tornado,https://github.com/tornadoweb/tornado,2009-09-09,2022-02-08,20397,1401,821,0,Python,1707,1506
ipfs/ipfs,https://github.com/ipfs/ipfs,2014-02-11,2021-06-30,20396,150,124,0,,207,203
Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,2018-03-07,2019-08-05,20375,147,64,19,JavaScript,1687,1264
viraptor/reverse-interview,https://github.com/viraptor/reverse-interview,2019-09-08,2021-10-02,20367,79,53,0,,21,14
DesignPatternsPHP/DesignPatternsPHP,https://github.com/DesignPatternsPHP/DesignPatternsPHP,2011-08-22,2022-01-09,20322,355,272,0,PHP,109,107
julycoding/The-Art-Of-Programming-By-July,https://github.com/julycoding/The-Art-Of-Programming-By-July,2013-12-14,2021-07-03,20255,343,254,0,C,130,83
datasciencemasters/go,https://github.com/datasciencemasters/go,2013-08-14,2018-07-20,20242,131,43,0,,49,23
ehang-io/nps,https://github.com/ehang-io/nps,2018-11-04,2021-10-09,20219,90,74,59,Go,899,642
coder2gwy/coder2gwy,https://github.com/coder2gwy/coder2gwy,2020-12-30,2021-01-16,20196,4,2,0,,128,22
dnSpy/dnSpy,https://github.com/dnSpy/dnSpy,2015-07-01,2020-12-07,20161,83,53,1,C#,0,0
ApolloAuto/apollo,https://github.com/ApolloAuto/apollo,2017-07-04,2022-02-14,20154,10785,9638,10,C++,3508,2460
postcss/autoprefixer,https://github.com/postcss/autoprefixer,2013-03-14,2022-01-30,20144,319,264,181,JavaScript,1106,1074
git-tips/tips,https://github.com/git-tips/tips,2015-07-15,2021-08-12,20122,170,138,0,JavaScript,32,17
haizlin/fe-interview,https://github.com/haizlin/fe-interview,2019-04-17,2022-02-20,20100,16,8,2,JavaScript,4922,13
localForage/localForage,https://github.com/localForage/localForage,2013-10-31,2021-10-03,20096,369,267,26,JavaScript,674,489
nefe/You-Dont-Need-jQuery,https://github.com/nefe/You-Dont-Need-jQuery,2015-11-21,2021-09-01,20082,180,163,1,JavaScript,66,65
StevenBlack/hosts,https://github.com/StevenBlack/hosts,2012-04-12,2022-02-19,20074,518,366,405,Python,1337,1305
FallibleInc/security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,2016-06-08,2017-02-20,20064,42,26,0,,12,4
eslint/eslint,https://github.com/eslint/eslint,2013-06-29,2022-02-20,20050,6122,5032,260,JavaScript,8914,8828
yeasy/docker_practice,https://github.com/yeasy/docker_practice,2014-09-05,2022-02-16,20009,298,244,15,Go,197,194
ReactiveCocoa/ReactiveCocoa,https://github.com/ReactiveCocoa/ReactiveCocoa,2012-03-02,2021-11-20,19992,1718,1347,83,Swift,2001,2001
vuejs/vuepress,https://github.com/vuejs/vuepress,2018-04-05,2022-02-17,19979,1183,764,21,JavaScript,1815,1386
nicolargo/glances,https://github.com/nicolargo/glances,2011-12-04,2022-02-20,19977,521,420,27,Python,1447,1236
coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,2017-09-06,2022-02-20,19970,2526,1346,2,C,6239,5970
petkaantonov/bluebird,https://github.com/petkaantonov/bluebird,2013-09-07,2021-09-14,19939,539,289,123,JavaScript,1137,1072
sirupsen/logrus,https://github.com/sirupsen/logrus,2013-10-16,2022-01-12,19931,701,394,13,Go,614,602
alpinejs/alpine,https://github.com/alpinejs/alpine,2019-11-28,2022-02-11,19918,592,431,98,HTML,554,551
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,2019-09-05,2022-02-18,19915,440,0,10,Python,2844,2710
futurice/android-best-practices,https://github.com/futurice/android-best-practices,2014-07-29,2019-01-20,19909,109,80,0,,84,61
OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,2018-12-21,2022-02-15,19907,597,524,0,Python,256,222
BradLarson/GPUImage,https://github.com/BradLarson/GPUImage,2012-02-13,2016-05-26,19894,447,241,3,Objective-C,2211,1308
docsifyjs/docsify,https://github.com/docsifyjs/docsify,2016-11-20,2022-02-05,19881,674,479,12,JavaScript,1032,883
JohnCoates/Aerial,https://github.com/JohnCoates/Aerial,2015-10-26,2022-02-14,19875,257,214,172,Swift,933,892
viatsko/awesome-vscode,https://github.com/viatsko/awesome-vscode,2016-02-07,2021-12-09,19863,299,234,0,JavaScript,40,23
apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,2015-04-30,2022-02-17,19861,10932,8683,30,C++,9465,7707
floating-ui/floating-ui,https://github.com/floating-ui/floating-ui,2016-03-29,2022-02-01,19855,626,495,170,TypeScript,789,776
ruanyf/es6tutorial,https://github.com/ruanyf/es6tutorial,2014-04-20,2022-02-08,19834,576,354,0,JavaScript,533,532
elixir-lang/elixir,https://github.com/elixir-lang/elixir,2011-01-09,2022-02-20,19832,7003,5818,120,Elixir,4632,4610
jaredhanson/passport,https://github.com/jaredhanson/passport,2011-10-08,2022-01-24,19827,138,49,0,JavaScript,689,389
facebookarchive/pop,https://github.com/facebookarchive/pop,2014-03-30,2018-10-11,19826,146,100,3,Objective-C++,256,211
enzymejs/enzyme,https://github.com/enzymejs/enzyme,2015-11-10,2021-09-17,19821,803,646,0,JavaScript,1747,1489
dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,2016-10-05,2022-02-16,19815,702,464,10,C#,1107,1067
babysor/MockingBird,https://github.com/babysor/MockingBird,2021-08-07,2022-02-10,19773,42,32,1,JavaScript,351,196
necolas/react-native-web,https://github.com/necolas/react-native-web,2015-06-09,2022-02-18,19739,606,47,19,JavaScript,1541,1468
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,2013-11-29,2015-10-29,19733,95,42,1,C,71,27
Kong/insomnia,https://github.com/Kong/insomnia,2016-04-23,2022-02-18,19730,1533,1264,204,JavaScript,2549,2021
vercel/pkg,https://github.com/vercel/pkg,2016-08-08,2022-02-12,19727,225,139,37,JavaScript,1194,1145
withastro/snowpack,https://github.com/withastro/snowpack,2019-02-26,2021-12-29,19721,1472,1203,83,JavaScript,853,526
sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,2018-06-22,2022-02-06,19720,504,453,3,Python,95,65
onevcat/Kingfisher,https://github.com/onevcat/Kingfisher,2015-04-06,2022-01-26,19716,653,535,159,Swift,1189,1121
goldfire/howler.js,https://github.com/goldfire/howler.js,2013-01-28,2022-01-23,19710,249,127,24,JavaScript,1309,1034
uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager,2013-08-05,2022-02-18,19704,540,404,82,C++,4488,4461
numpy/numpy,https://github.com/numpy/numpy,2010-09-13,2022-02-20,19676,10718,8579,80,Python,10344,8325
libgdx/libgdx,https://github.com/libgdx/libgdx,2012-08-10,2022-02-11,19665,3319,2369,8,Java,3447,3282
Reactive-Extensions/RxJS,https://github.com/Reactive-Extensions/RxJS,2012-01-07,2017-07-18,19646,637,520,34,JavaScript,874,643
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2020-10-26,2022-02-20,19630,870,653,49,Python,1881,1506
coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,2014-09-20,2022-02-01,19630,112,62,17,Go,588,511
avajs/ava,https://github.com/avajs/ava,2014-11-18,2022-02-13,19601,1301,959,83,JavaScript,1545,1468
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,2014-08-19,2021-08-26,19596,231,171,18,Java,341,340
highlightjs/highlight.js,https://github.com/highlightjs/highlight.js,2011-01-01,2022-02-17,19595,1687,1250,31,JavaScript,1775,1728
homebridge/homebridge,https://github.com/homebridge/homebridge,2014-12-01,2022-01-21,19577,365,293,29,TypeScript,2693,2679
yewstack/yew,https://github.com/yewstack/yew,2017-12-16,2022-02-12,19560,1338,1152,30,Rust,974,886
ageron/handson-ml2,https://github.com/ageron/handson-ml2,2019-01-08,2022-02-01,19544,111,61,0,Jupyter Notebook,430,279
rwaldron/idiomatic.js,https://github.com/rwaldron/idiomatic.js,2011-05-25,2021-05-14,19529,171,114,0,,79,48
tipsy/profile-summary-for-github,https://github.com/tipsy/profile-summary-for-github,2017-12-10,2021-09-13,19519,32,20,0,Vue,71,58
Seldaek/monolog,https://github.com/Seldaek/monolog,2011-02-17,2021-11-15,19473,937,606,49,PHP,696,670
railsware/upterm,https://github.com/railsware/upterm,2015-03-22,2019-05-20,19425,566,293,187,TypeScript,752,533
michalsnik/aos,https://github.com/michalsnik/aos,2015-07-09,2018-10-03,19423,129,38,0,JavaScript,612,347
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,2013-10-21,2022-02-20,19336,11065,9974,19,JavaScript,6831,6597
gfwlist/gfwlist,https://github.com/gfwlist/gfwlist,2015-03-13,2022-02-13,19298,26,0,0,,2177,1804
DrKLO/Telegram,https://github.com/DrKLO/Telegram,2013-10-25,2022-02-16,19297,525,20,72,Java,0,0
parse-community/parse-server,https://github.com/parse-community/parse-server,2016-01-28,2022-02-20,19277,3682,2886,118,JavaScript,4092,3882
judasn/IntelliJ-IDEA-Tutorial,https://github.com/judasn/IntelliJ-IDEA-Tutorial,2015-08-17,2022-01-31,19257,73,39,0,,74,74
datawhalechina/pumpkin-book,https://github.com/datawhalechina/pumpkin-book,2018-12-22,2021-11-27,19250,57,44,4,,65,48
ray-project/ray,https://github.com/ray-project/ray,2016-10-25,2022-02-20,19239,13081,10814,53,Python,9173,7206
Pierian-Data/Complete-Python-3-Bootcamp,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,2018-02-12,2021-10-21,19237,164,12,0,Jupyter Notebook,244,187
k3s-io/k3s,https://github.com/k3s-io/k3s,2018-05-31,2022-02-11,19231,1900,1627,343,Go,3025,2626
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,2015-03-28,2022-02-14,19208,91,82,0,JavaScript,19,14
notable/notable,https://github.com/notable/notable,2018-12-22,2021-03-20,19195,74,25,20,TypeScript,1495,880
microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,2019-07-10,2021-12-13,19190,90,70,17,Python,512,448
zhaoolee/ChromeAppHeroes,https://github.com/zhaoolee/ChromeAppHeroes,2019-02-07,2022-02-16,19172,19,7,0,JavaScript,43,29
afollestad/material-dialogs,https://github.com/afollestad/material-dialogs,2014-11-03,2021-02-20,19168,275,179,92,Kotlin,0,0
youzan/vant,https://github.com/youzan/vant,2017-04-19,2022-02-18,19166,4185,3955,158,TypeScript,5991,5967
validatorjs/validator.js,https://github.com/validatorjs/validator.js,2010-10-06,2022-02-17,19148,1033,607,9,JavaScript,892,769
yuzu-emu/yuzu,https://github.com/yuzu-emu/yuzu,2018-01-03,2022-02-19,19138,4972,4524,0,C++,2462,1587
v8/v8,https://github.com/v8/v8,2014-09-24,2022-02-20,19128,56,0,0,C++,0,0
photoprism/photoprism,https://github.com/photoprism/photoprism,2018-01-27,2022-02-20,19116,266,171,34,Go,1333,1064
segmentio/nightmare,https://github.com/segmentio/nightmare,2014-04-05,2019-04-27,19099,396,251,1,JavaScript,1240,1066
bitcoinbook/bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,2013-08-11,2022-01-07,19098,647,434,3,AsciiDoc,341,294
js-cookie/js-cookie,https://github.com/js-cookie/js-cookie,2015-03-19,2022-01-05,19094,235,61,34,JavaScript,501,499
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,2018-08-23,2021-02-07,19087,46,17,12,TypeScript,208,95
tsenart/vegeta,https://github.com/tsenart/vegeta,2013-08-13,2020-10-11,19068,210,130,63,Go,375,301
mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,2016-06-02,2021-11-17,19065,1656,1338,105,C++,2052,1946
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,2015-05-18,2022-02-05,19064,1480,745,57,TypeScript,1586,1565
leereilly/games,https://github.com/leereilly/games,2012-01-05,2018-08-22,19008,385,192,0,,236,80
envoyproxy/envoy,https://github.com/envoyproxy/envoy,2016-08-08,2022-02-19,19007,13167,10777,68,C++,6873,5755
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,2020-05-08,2022-02-18,19002,1637,1381,4,Python,3887,2974
sudheerj/reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,2018-05-31,2022-02-19,19001,121,97,0,JavaScript,53,49
xi-editor/xi-editor,https://github.com/xi-editor/xi-editor,2016-04-26,2021-09-28,18994,779,653,0,Rust,526,396
statelyai/xstate,https://github.com/statelyai/xstate,2015-09-14,2022-02-19,18974,1211,966,141,TypeScript,1013,860
marmelab/react-admin,https://github.com/marmelab/react-admin,2016-07-13,2022-02-18,18972,3834,3136,220,TypeScript,3447,3361
benweet/stackedit,https://github.com/benweet/stackedit,2013-03-24,2021-03-29,18959,127,35,13,JavaScript,1631,998
libuv/libuv,https://github.com/libuv/libuv,2013-11-30,2022-02-20,18938,1939,600,2,C,1408,1307
Homebrew/homebrew-cask,https://github.com/Homebrew/homebrew-cask,2012-03-05,2022-02-20,18928,113232,97166,81,Ruby,5998,5976
neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,2018-05-01,2022-02-19,18909,925,536,80,TypeScript,2577,2559
google/ExoPlayer,https://github.com/google/ExoPlayer,2014-06-13,2021-11-19,18906,1079,520,16,Java,8859,8333
deezer/spleeter,https://github.com/deezer/spleeter,2019-09-26,2022-02-11,18892,83,44,2,Python,642,524
trekhleb/homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,2018-11-01,2020-07-08,18884,18,2,0,Jupyter Notebook,21,12
ruby/ruby,https://github.com/ruby/ruby,2010-02-27,2022-02-20,18883,5540,2371,0,Ruby,0,0
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,2019-01-08,2022-02-17,18882,141,104,38,JavaScript,622,550
verekia/js-stack-from-scratch,https://github.com/verekia/js-stack-from-scratch,2016-10-02,2021-09-26,18879,105,55,1,JavaScript,157,118
zyedidia/micro,https://github.com/zyedidia/micro,2016-03-11,2022-02-14,18868,681,512,32,Go,1682,1148
drduh/macOS-Security-and-Privacy-Guide,https://github.com/drduh/macOS-Security-and-Privacy-Guide,2015-08-31,2021-10-24,18860,153,134,0,Python,238,224
eugeneyan/applied-ml,https://github.com/eugeneyan/applied-ml,2020-07-04,2022-02-09,18840,183,173,0,,16,14
zhiwehu/Python-programming-exercises,https://github.com/zhiwehu/Python-programming-exercises,2012-06-14,2021-12-16,18829,101,0,0,,64,11
MustangYM/WeChatExtension-ForMac,https://github.com/MustangYM/WeChatExtension-ForMac,2019-04-25,2021-11-26,18827,71,45,46,Objective-C,1533,761
Popmotion/popmotion,https://github.com/Popmotion/popmotion,2014-08-17,2021-12-03,18763,354,293,0,JavaScript,581,549
apache/skywalking,https://github.com/apache/skywalking,2015-11-07,2022-02-21,18745,3955,3424,50,Java,4067,4017
jorgebucaran/hyperapp,https://github.com/jorgebucaran/hyperapp,2017-01-20,2021-12-20,18744,480,271,26,JavaScript,576,569
davideuler/architecture.of.internet-product,https://github.com/davideuler/architecture.of.internet-product,2018-04-30,2021-12-05,18737,4,1,0,HTML,11,3
ShareX/ShareX,https://github.com/ShareX/ShareX,2013-10-08,2022-02-20,18717,942,668,72,C#,5141,4792
vuejs/vue-router,https://github.com/vuejs/vue-router,2013-12-11,2022-02-16,18696,920,602,83,JavaScript,2746,2681
celery/celery,https://github.com/celery/celery,2009-04-24,2022-02-16,18692,2494,1672,31,Python,4626,4160
ftlabs/fastclick,https://github.com/ftlabs/fastclick,2012-02-13,2021-02-12,18688,207,67,3,HTML,392,181
tobiasahlin/SpinKit,https://github.com/tobiasahlin/SpinKit,2013-12-12,2020-02-10,18683,94,51,9,CSS,58,53
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,2018-04-02,2022-02-20,18679,5814,4555,226,JavaScript,3299,2926
osquery/osquery,https://github.com/osquery/osquery,2014-07-29,2022-02-17,18667,4529,3834,116,C++,2892,2411
TeamStuQ/skill-map,https://github.com/TeamStuQ/skill-map,2015-11-17,2019-07-19,18664,61,42,2,HTML,85,16
qianguyihao/Web,https://github.com/qianguyihao/Web,2017-01-03,2022-02-17,18662,61,0,0,,155,117
schollz/croc,https://github.com/schollz/croc,2017-10-17,2022-02-20,18658,143,128,129,Go,310,238
forem/forem,https://github.com/forem/forem,2016-11-13,2022-02-18,18632,11680,10435,0,Ruby,4379,4003
microsoft/api-guidelines,https://github.com/microsoft/api-guidelines,2016-07-12,2022-02-18,18599,164,110,0,,144,77
slidevjs/slidev,https://github.com/slidevjs/slidev,2021-04-24,2022-02-18,18595,128,104,163,TypeScript,311,246
rancher/rancher,https://github.com/rancher/rancher,2014-11-07,2022-02-19,18567,7896,6822,808,Go,28245,26177
Light-City/CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,2019-07-14,2022-02-02,18567,57,23,0,C++,140,88
Prinzhorn/skrollr,https://github.com/Prinzhorn/skrollr,2012-03-18,2015-08-12,18547,87,35,0,HTML,776,533
palantir/blueprint,https://github.com/palantir/blueprint,2016-10-25,2022-02-10,18531,2414,2058,110,TypeScript,2626,1991
robertdavidgraham/masscan,https://github.com/robertdavidgraham/masscan,2013-07-28,2021-09-06,18510,185,82,11,C,454,150
dhg/Skeleton,https://github.com/dhg/Skeleton,2011-04-30,2014-12-29,18507,209,25,6,CSS,200,126
alibaba/Sentinel,https://github.com/alibaba/Sentinel,2018-04-04,2022-02-10,18502,782,418,19,Java,1727,1356
graphql/graphql-js,https://github.com/graphql/graphql-js,2015-06-30,2022-02-16,18496,2447,2064,139,TypeScript,987,853
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,2010-11-22,2022-02-20,18484,6257,4642,156,Java,0,0
reduxjs/reselect,https://github.com/reduxjs/reselect,2015-07-01,2021-11-24,18484,198,124,34,TypeScript,359,345
google/web-starter-kit,https://github.com/google/web-starter-kit,2014-04-07,2018-01-09,18480,416,234,14,HTML,585,535
eligrey/FileSaver.js,https://github.com/eligrey/FileSaver.js,2011-07-15,2020-11-19,18477,148,65,14,JavaScript,597,459
didi/DoraemonKit,https://github.com/didi/DoraemonKit,2018-08-14,2022-02-11,18473,383,303,7,Java,606,460
winstonjs/winston,https://github.com/winstonjs/winston,2010-12-29,2022-02-20,18460,770,426,9,JavaScript,1302,928
nikitavoloboev/my-mac-os,https://github.com/nikitavoloboev/my-mac-os,2016-03-04,2021-08-27,18447,37,16,0,,73,71
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,2019-08-09,2021-06-08,18403,46,15,0,C,0,0
tmrts/go-patterns,https://github.com/tmrts/go-patterns,2015-12-14,2017-07-19,18397,87,10,0,Go,25,11
python-poetry/poetry,https://github.com/python-poetry/poetry,2018-02-28,2022-02-11,18393,1467,888,107,Python,3532,2407
ruanyf/jstraining,https://github.com/ruanyf/jstraining,2016-10-27,2022-02-16,18388,27,18,0,,41,41
PostgREST/postgrest,https://github.com/PostgREST/postgrest,2014-06-13,2022-02-11,18376,839,697,36,Haskell,1212,1059
gofiber/fiber,https://github.com/gofiber/fiber,2020-01-16,2022-02-20,18376,982,878,83,Go,795,770
nextcloud/server,https://github.com/nextcloud/server,2016-06-02,2022-02-20,18361,16900,14602,36,PHP,13633,11881
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,2018-08-22,2022-02-16,18351,1983,1572,29,Python,5175,4718
redisson/redisson,https://github.com/redisson/redisson,2014-01-11,2022-02-18,18326,460,299,105,Java,3677,3443
ChristosChristofidis/awesome-deep-learning,https://github.com/ChristosChristofidis/awesome-deep-learning,2015-01-02,2020-11-30,18324,192,143,0,,17,14
spf13/viper,https://github.com/spf13/viper,2014-04-02,2022-02-12,18305,524,213,17,Go,705,375
AMAI-GmbH/AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,2020-10-24,2022-02-10,18302,14,13,0,JavaScript,45,38
sideway/joi,https://github.com/sideway/joi,2012-09-16,2022-01-26,18284,601,403,0,JavaScript,2138,2036
taichi-dev/taichi,https://github.com/taichi-dev/taichi,2016-11-24,2022-02-20,18276,2865,2634,94,C++,1453,1056
sebastianbergmann/phpunit,https://github.com/sebastianbergmann/phpunit,2009-12-24,2022-02-20,18251,1719,763,0,PHP,3063,2924
SnapKit/SnapKit,https://github.com/SnapKit/SnapKit,2014-06-05,2021-09-15,18237,196,120,11,Swift,537,459
norvig/pytudes,https://github.com/norvig/pytudes,2017-03-01,2022-02-08,18236,76,51,0,Jupyter Notebook,30,16
fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,2012-05-10,2022-02-19,18236,2532,1310,33,C++,6169,5707
locustio/locust,https://github.com/locustio/locust,2011-02-17,2022-02-14,18232,744,515,72,Python,1268,1257
apache/flink,https://github.com/apache/flink,2014-06-07,2022-02-18,18219,18842,5574,0,Java,0,0
remoteintech/remote-jobs,https://github.com/remoteintech/remote-jobs,2015-10-13,2022-02-15,18206,1204,917,0,JavaScript,118,101
square/picasso,https://github.com/square/picasso,2013-05-14,2022-02-04,18203,704,498,7,Java,1546,1355
bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter,2011-08-19,2022-02-12,18171,2885,1292,0,PHP,3198,3191
jcjohnson/neural-style,https://github.com/jcjohnson/neural-style,2015-09-01,2017-04-15,18162,51,16,0,Lua,438,144
bazelbuild/bazel,https://github.com/bazelbuild/bazel,2014-06-12,2022-02-20,18161,4807,112,140,Java,9475,7207
codex-team/editor.js,https://github.com/codex-team/editor.js,2015-11-28,2022-02-09,18136,821,647,26,TypeScript,1044,713
wesbos/JavaScript30,https://github.com/wesbos/JavaScript30,2016-12-07,2022-01-28,18106,496,145,0,HTML,0,0
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,2012-07-17,2021-01-20,18104,152,54,5,Java,654,475
nostalgic-css/NES.css,https://github.com/nostalgic-css/NES.css,2018-09-24,2021-07-19,18094,301,222,7,SCSS,172,138
TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,2016-07-16,2022-02-10,18061,1737,508,0,C++,190,181
chalk/chalk,https://github.com/chalk/chalk,2013-08-03,2021-11-26,18052,153,90,21,JavaScript,312,312
telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,2014-05-02,2022-02-19,18052,1271,928,563,C++,10722,10011
SerenityOS/serenity,https://github.com/SerenityOS/serenity,2018-12-02,2022-02-20,18034,9851,8776,0,C++,2789,2291
nothings/stb,https://github.com/nothings/stb,2014-05-25,2021-09-10,18032,589,276,0,C,667,591
Awesome-Windows/Awesome,https://github.com/Awesome-Windows/Awesome,2016-05-30,2021-04-18,18026,334,206,0,,95,71
n0shake/Public-APIs,https://github.com/n0shake/Public-APIs,2016-01-13,2022-02-12,18011,425,341,0,,46,45
SnapKit/Masonry,https://github.com/SnapKit/Masonry,2013-07-22,2017-09-28,18006,139,75,1,Objective-C,455,332
